Token,Language_x,Language_y,Exist
a,Eng,Spn,both
actor,Eng,Spn,both
actual,Eng,Spn,both
ah,Eng,Spn,both
alcohol,Eng,Spn,both
animal,Eng,Spn,both
arena,Eng,Spn,both
artificial,Eng,Spn,both
auto,Eng,Spn,both
bar,Eng,Spn,both
base,Eng,Spn,both
brutal,Eng,Spn,both
cable,Eng,Spn,both
café,Eng,Spn,both
canal,Eng,Spn,both
capital,Eng,Spn,both
central,Eng,Spn,both
chocolate,Eng,Spn,both
civil,Eng,Spn,both
club,Eng,Spn,both
collar,Eng,Spn,both
colonial,Eng,Spn,both
color,Eng,Spn,both
comparable,Eng,Spn,both
considerable,Eng,Spn,both
control,Eng,Spn,both
criminal,Eng,Spn,both
crisis,Eng,Spn,both
cruel,Eng,Spn,both
cultural,Eng,Spn,both
debate,Eng,Spn,both
defender,Eng,Spn,both
director,Eng,Spn,both
doctor,Eng,Spn,both
drama,Eng,Spn,both
editor,Eng,Spn,both
era,Eng,Spn,both
error,Eng,Spn,both
experimental,Eng,Spn,both
extra,Eng,Spn,both
factor,Eng,Spn,both
familiar,Eng,Spn,both
fatal,Eng,Spn,both
favor,Eng,Spn,both
favorable,Eng,Spn,both
final,Eng,Spn,both
fiscal,Eng,Spn,both
flexible,Eng,Spn,both
formal,Eng,Spn,both
fundamental,Eng,Spn,both
gas,Eng,Spn,both
general,Eng,Spn,both
global,Eng,Spn,both
grave,Eng,Spn,both
honor,Eng,Spn,both
horrible,Eng,Spn,both
horror,Eng,Spn,both
hospital,Eng,Spn,both
hotel,Eng,Spn,both
humor,Eng,Spn,both
idea,Eng,Spn,both
ideal,Eng,Spn,both
individual,Eng,Spn,both
industrial,Eng,Spn,both
inevitable,Eng,Spn,both
inspector,Eng,Spn,both
interior,Eng,Spn,both
invisible,Eng,Spn,both
judicial,Eng,Spn,both
labor,Eng,Spn,both
legal,Eng,Spn,both
liberal,Eng,Spn,both
local,Eng,Spn,both
mate,Eng,Spn,both
material,Eng,Spn,both
mayor,Eng,Spn,both
me,Eng,Spn,both
media,Eng,Spn,both
mental,Eng,Spn,both
metal,Eng,Spn,both
meter,Eng,Spn,both
moral,Eng,Spn,both
motor,Eng,Spn,both
municipal,Eng,Spn,both
musical,Eng,Spn,both
natural,Eng,Spn,both
no,Eng,Spn,both
normal,Eng,Spn,both
oh,Eng,Spn,both
once,Eng,Spn,both
oral,Eng,Spn,both
original,Eng,Spn,both
pan,Eng,Spn,both
particular,Eng,Spn,both
pasta,Eng,Spn,both
pastor,Eng,Spn,both
personal,Eng,Spn,both
piano,Eng,Spn,both
pie,Eng,Spn,both
plan,Eng,Spn,both
plaza,Eng,Spn,both
popular,Eng,Spn,both
principal,Eng,Spn,both
radical,Eng,Spn,both
radio,Eng,Spn,both
real,Eng,Spn,both
red,Eng,Spn,both
regional,Eng,Spn,both
regular,Eng,Spn,both
relieve,Eng,Spn,both
ritual,Eng,Spn,both
rival,Eng,Spn,both
rumor,Eng,Spn,both
rural,Eng,Spn,both
sector,Eng,Spn,both
secular,Eng,Spn,both
sexual,Eng,Spn,both
similar,Eng,Spn,both
simple,Eng,Spn,both
sin,Eng,Spn,both
social,Eng,Spn,both
solar,Eng,Spn,both
superior,Eng,Spn,both
tender,Eng,Spn,both
terrible,Eng,Spn,both
terror,Eng,Spn,both
total,Eng,Spn,both
tropical,Eng,Spn,both
universal,Eng,Spn,both
usual,Eng,Spn,both
verbal,Eng,Spn,both
vertical,Eng,Spn,both
visible,Eng,Spn,both
visual,Eng,Spn,both
vital,Eng,Spn,both
vulnerable,Eng,Spn,both
